system:index,count,.geo
2003_09_01_0,6634,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2003_10_01_0,2205,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2003_11_01_0,307,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2003_12_01_0,31,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_02_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_03_01_0,964,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_04_01_0,601,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_05_01_0,395,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_06_01_0,19800,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_07_01_0,55807,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_08_01_0,27036,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_09_01_0,2722,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_10_01_0,498,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_11_01_0,362,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2004_12_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2005_01_01_0,58,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
